StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q23,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q9,Q9_5_TEXT,Q10,Q10_7_TEXT,Q11,Q11_4_TEXT,Q12,Q12_8_TEXT,Q13,Q13_9_TEXT,Q14,Q24,Q25,Q26,Q26_19_TEXT,Q27,Q27_24_TEXT,Q28,Q28_14_TEXT,Q29,Q29_4_TEXT,Q31,Q19,Q20,Q21,Q22,Q17,Q17_14_TEXT,Q18,Q14 - Parent Topics,Q14 - Sentiment Polarity,Q14 - Sentiment Score,Q14 - Sentiment,Q14 - Topic Sentiment Label,Q14 - Topic Sentiment Score,Q14 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,First name,Last name,UMich email (ex. hconnors@umich.edu),Phone number (if you're comfortable getting text/GroupMe reminders),School/College,Academic standing,Current class standing,Are you a CSA mandatory reporter?,"WSN groups occur on Mondays, Tuesdays, Wednesdays, and Thursdays, with the earliest group beginning at 4pm and latest group beginning at 8pm. Please select all times you are available for group in the Winter 2020 semester. - Monday","WSN groups occur on Mondays, Tuesdays, Wednesdays, and Thursdays, with the earliest group beginning at 4pm and latest group beginning at 8pm. Please select all times you are available for group in the Winter 2020 semester. - Tuesday","WSN groups occur on Mondays, Tuesdays, Wednesdays, and Thursdays, with the earliest group beginning at 4pm and latest group beginning at 8pm. Please select all times you are available for group in the Winter 2020 semester. - Wednesday","WSN groups occur on Mondays, Tuesdays, Wednesdays, and Thursdays, with the earliest group beginning at 4pm and latest group beginning at 8pm. Please select all times you are available for group in the Winter 2020 semester. - Thursday",Which campus is convenient for you to meet? (Select one or both),Gender identity (select all that apply) - Selected Choice,Gender identity (select all that apply) - Other: - Text,Sexual orientation - Selected Choice,Sexual orientation - Other: - Text,Gender pronouns - Selected Choice,Gender pronouns - Other: - Text,Ethnicity (select all that apply) - Selected Choice,Ethnicity (select all that apply) - Other: - Text,Religious affiliation (select all that apply) - Selected Choice,Religious affiliation (select all that apply) - Other: - Text,"Hometown (city, state, country if outside the U.S.)","Are you involved in social Greek Life? (IFC, MGC, NPHC, Panhel)",Which council of Greek Life are you affiliated with?,Which organization are you affiliated with? - Selected Choice,Which organization are you affiliated with? - Other: - Text,Which organization are you affiliated with? - Selected Choice,Which organization are you affiliated with? - Other: - Text,Which organization are you affiliated with? - Selected Choice,Which organization are you affiliated with? - Other: - Text,Which organization are you affiliated with? - Selected Choice,Which organization are you affiliated with? - Other: - Text,"What student organizations or jobs are you involved with on campus (if any)?Please write out the full name of each organization you are involved in: Ex. Dance Marathon, Kappa Theta Pi, Proyecto Avance Latino Mentoring Association",Have you been a member of WSN in the past?,Were you a member of WSN in Fall 2019?,Who were your leaders in Fall 2019?,"Would you like to stay with your leaders from Fall 2019 if possible?



Please note: Some leaders will not be leading together again in winter, and your availability may not match up with theirs. We will do our best to honor all requests when possible.",How did you hear about WSN? (Select all that apply) - Selected Choice,How did you hear about WSN? (Select all that apply) - Other: - Text,"If you heard about WSN from a leader or member, please write their name here.",Q14 - Parent Topics,Q14 - Sentiment Polarity,Q14 - Sentiment Score,Q14 - Sentiment,Q14 - Topic Sentiment Label,Q14 - Topic Sentiment Score,Q14 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID23""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID16""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_7_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_8_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_9_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_19_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_24_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_14_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_4_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_14_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID14_TEXT_8965fac8539d488d8a1a78c5ParTopics""}","{""ImportId"":""QID14_TEXT_8965fac8539d488d8a1a78c5SenPol""}","{""ImportId"":""QID14_TEXT_8965fac8539d488d8a1a78c5SenScore""}","{""ImportId"":""QID14_TEXT_8965fac8539d488d8a1a78c5Sentiment""}","{""ImportId"":""QID14_TEXT_8965fac8539d488d8a1a78c5TopicSenLabel""}","{""ImportId"":""QID14_TEXT_8965fac8539d488d8a1a78c5TopicSenScore""}","{""ImportId"":""QID14_TEXT_8965fac8539d488d8a1a78c5Topics""}"
12/2/19 7:12,12/2/19 7:16,IP Address,xx.xx.xx.xxx,100,215,TRUE,12/2/19 7:16,R_yn1x2Xa9cdf4GVX,,,,,42.27090454,-83.72679901,anonymous,EN,Jane,Doe,janedoe@umich.edu,6163750226,LSA,Undergraduate,Junior,No,"6-7 pm,7-8 pm",,"6-7 pm,7-8 pm","4-5 pm,5-6 pm",Central Campus,Woman,,Heterosexual (straight),,She/her/hers,,White,,Agnostic,,"Grand Rapids, michigan",No,,,,,,,,,,Dance Marathon,Yes,Yes,Homie One and Homie Two,Yes,WSN Member,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
